# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1684632754,0,-0.1724137961864471,1.0048315525054932,0.0,0.0,0.0,0.0
1,1684632754,3200,-0.1724137961864471,1.0048315525054932,0.0,0.0,0.1564625799655914,1.0011593103408811
2,1684632754,6400,-0.1724137961864471,1.0048315525054932,0.1599999964237213,1.0022022724151611,0.1564625799655914,1.0011593103408811
3,1684632769,9600,-0.3915760517120361,0.9686865210533142,0.1599999964237213,1.0022022724151611,0.1564625799655914,1.0011593103408811
4,1684632769,12800,-0.3915760517120361,0.9686865210533142,0.1599999964237213,1.0022022724151611,0.3915646076202392,0.9458536505699158
5,1684632769,16000,-0.3915760517120361,0.9686865210533142,0.3957894444465637,0.9572495222091676,0.3915646076202392,0.9458536505699158
6,1684632782,19200,-0.5657541751861572,0.816487193107605,0.3957894444465637,0.9572495222091676,0.3915646076202392,0.9458536505699158
7,1684632783,22400,-0.5657541751861572,0.816487193107605,0.3957894444465637,0.9572495222091676,0.5699861645698547,0.7699288725852966
8,1684632784,25600,-0.5657541751861572,0.816487193107605,0.5771126747131348,0.817062497138977,0.5699861645698547,0.7699288725852966
9,1684632798,28800,-0.6326489448547363,0.6505084037780762,0.5771126747131348,0.817062497138977,0.5699861645698547,0.7699288725852966
10,1684632799,32000,-0.6326489448547363,0.6505084037780762,0.5771126747131348,0.817062497138977,0.6360694766044617,0.6226904988288879
11,1684632800,35200,-0.6326489448547363,0.6505084037780762,0.636050820350647,0.7220097184181213,0.6360694766044617,0.6226904988288879
12,1684632813,38400,-0.6685501337051392,0.5043462514877319,0.636050820350647,0.7220097184181213,0.6360694766044617,0.6226904988288879
13,1684632814,41600,-0.6685501337051392,0.5043462514877319,0.636050820350647,0.7220097184181213,0.6720988154411316,0.4688523709774017
14,1684632815,44800,-0.6685501337051392,0.5043462514877319,0.6753328442573547,0.5423222780227661,0.6720988154411316,0.4688523709774017
15,1684632828,48000,-0.7064306735992432,0.320616751909256,0.6753328442573547,0.5423222780227661,0.6720988154411316,0.4688523709774017
16,1684632829,51200,-0.7064306735992432,0.320616751909256,0.6753328442573547,0.5423222780227661,0.7112851142883301,0.273253321647644
17,1684632830,54400,-0.7064306735992432,0.320616751909256,0.7126089930534363,0.3048350512981415,0.7112851142883301,0.273253321647644
18,1684632843,57600,-0.7381650805473328,0.2222666293382644,0.7126089930534363,0.3048350512981415,0.7112851142883301,0.273253321647644
19,1684632845,60800,-0.7381650805473328,0.2222666293382644,0.7126089930534363,0.3048350512981415,0.7406253218650818,0.3200437724590301
20,1684632846,64000,-0.7381650805473328,0.2222666293382644,0.7434608340263367,0.2919802367687225,0.7406253218650818,0.3200437724590301
21,1684632859,67200,-0.7616838812828064,0.2342449277639389,0.7434608340263367,0.2919802367687225,0.7406253218650818,0.3200437724590301
22,1684632860,70400,-0.7616838812828064,0.2342449277639389,0.7434608340263367,0.2919802367687225,0.7626304626464844,0.4210813045501709
23,1684632862,73600,-0.7616838812828064,0.2342449277639389,0.765271782875061,0.3059720993041992,0.7626304626464844,0.4210813045501709
24,1684632876,76800,-0.7812550067901611,0.2081942111253738,0.765271782875061,0.3059720993041992,0.7626304626464844,0.4210813045501709
25,1684632878,80000,-0.7812550067901611,0.2081942111253738,0.765271782875061,0.3059720993041992,0.7821320295333862,0.2010428607463836
26,1684632880,83200,-0.7812550067901611,0.2081942111253738,0.7856547236442566,0.3155630528926849,0.7821320295333862,0.2010428607463836
27,1684632898,86400,-0.7968794703483582,0.3276090919971466,0.7856547236442566,0.3155630528926849,0.7821320295333862,0.2010428607463836
28,1684632900,89600,-0.7968794703483582,0.3276090919971466,0.7856547236442566,0.3155630528926849,0.797636091709137,0.1787076145410537
29,1684632903,92800,-0.7968794703483582,0.3276090919971466,0.8010591864585876,0.1805841028690338,0.797636091709137,0.1787076145410537
30,1684632919,96000,-0.8100749254226685,0.1994553506374359,0.8010591864585876,0.1805841028690338,0.797636091709137,0.1787076145410537
31,1684632921,99200,-0.8100749254226685,0.1994553506374359,0.8010591864585876,0.1805841028690338,0.8116621971130371,0.1613409370183944
32,1684632925,102400,-0.8100749254226685,0.1994553506374359,0.8138745427131653,0.1854587942361831,0.8116621971130371,0.1613409370183944
33,1684632942,105600,-0.8217353820800781,0.2331596314907074,0.8138745427131653,0.1854587942361831,0.8116621971130371,0.1613409370183944
34,1684632943,108800,-0.8217353820800781,0.2331596314907074,0.8138745427131653,0.1854587942361831,0.8232316374778748,0.1521774977445602
35,1684632948,112000,-0.8217353820800781,0.2331596314907074,0.8246002197265625,0.1728285253047943,0.8232316374778748,0.1521774977445602
36,1684632964,115200,-0.8309887647628784,0.1928048282861709,0.8246002197265625,0.1728285253047943,0.8232316374778748,0.1521774977445602
37,1684632965,118400,-0.8309887647628784,0.1928048282861709,0.8246002197265625,0.1728285253047943,0.8323699235916138,0.1804711073637008
38,1684632969,121600,-0.8309887647628784,0.1928048282861709,0.8336116075515747,0.1907021552324295,0.8323699235916138,0.1804711073637008
39,1684632985,124800,-0.8365345597267151,0.2782453000545501,0.8336116075515747,0.1907021552324295,0.8323699235916138,0.1804711073637008
40,1684632986,128000,-0.8365345597267151,0.2782453000545501,0.8336116075515747,0.1907021552324295,0.8378170132637024,0.2685576677322387
41,1684632991,131200,-0.8365345597267151,0.2782453000545501,0.8390999436378479,0.2500582933425903,0.8378170132637024,0.2685576677322387
42,1684633002,134400,-0.8448681235313416,0.1256637722253799,0.8390999436378479,0.2500582933425903,0.8378170132637024,0.2685576677322387
43,1684633003,137600,-0.8448681235313416,0.1256637722253799,0.8390999436378479,0.2500582933425903,0.8460896015167236,0.145649567246437
44,1684633006,140800,-0.8448681235313416,0.1256637722253799,0.8473687767982483,0.131367802619934,0.8460896015167236,0.145649567246437
45,1684633017,144000,-0.8508509397506714,0.186008796095848,0.8473687767982483,0.131367802619934,0.8460896015167236,0.145649567246437
46,1684633018,147200,-0.8508509397506714,0.186008796095848,0.8473687767982483,0.131367802619934,0.8519588708877563,0.2476171404123306
47,1684633022,150400,-0.8508509397506714,0.186008796095848,0.8525332808494568,0.1985188424587249,0.8519588708877563,0.2476171404123306
