# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1684551723,0,-0.2738853693008423,2.11575984954834,0.0,0.0,0.0,0.0
1,1684551723,3200,-0.2738853693008423,2.11575984954834,0.2839506268501282,2.0986430644989014,0.0,0.0
2,1684551724,6400,-0.2738853693008423,2.11575984954834,0.2839506268501282,2.0986430644989014,0.2839506268501282,2.059864997863769
3,1684551731,9600,-0.6706849932670593,2.282219171524048,0.2839506268501282,2.0986430644989014,0.2839506268501282,2.059864997863769
4,1684551732,12800,-0.6706849932670593,2.282219171524048,0.2839506268501282,2.0986430644989014,0.6823480129241943,2.1777918338775635
5,1684551732,16000,-0.6706849932670593,2.282219171524048,0.6922712326049805,2.3054301738739014,0.6823480129241943,2.1777918338775635
6,1684551740,19200,-0.8712071180343628,1.96592116355896,0.6922712326049805,2.3054301738739014,0.6823480129241943,2.1777918338775635
7,1684551740,22400,-0.8712071180343628,1.96592116355896,0.6922712326049805,2.3054301738739014,0.8780421018600464,1.861567497253418
8,1684551741,25600,-0.8712071180343628,1.96592116355896,0.877757728099823,1.8710334300994875,0.8780421018600464,1.861567497253418
9,1684551748,28800,-0.9712624549865724,1.2637996673583984,0.877757728099823,1.8710334300994875,0.8780421018600464,1.861567497253418
10,1684551749,32000,-0.9712624549865724,1.2637996673583984,0.877757728099823,1.8710334300994875,0.9796215891838074,1.3122247457504272
11,1684551749,35200,-0.9712624549865724,1.2637996673583984,0.9782724380493164,1.323109745979309,0.9796215891838074,1.3122247457504272
12,1684551757,38400,-1.0594662427902222,0.7130640149116516,0.9782724380493164,1.323109745979309,0.9796215891838074,1.3122247457504272
13,1684551757,41600,-1.0594662427902222,0.7130640149116516,0.9782724380493164,1.323109745979309,1.0642168521881104,0.8441933989524841
14,1684551758,44800,-1.0594662427902222,0.7130640149116516,1.0690377950668335,0.8011382222175598,1.0642168521881104,0.8441933989524841
15,1684551765,48000,-1.123183012008667,1.2556602954864502,1.0690377950668335,0.8011382222175598,1.0642168521881104,0.8441933989524841
16,1684551765,51200,-1.123183012008667,1.2556602954864502,1.0690377950668335,0.8011382222175598,1.1281107664108276,1.1231324672698977
17,1684551767,54400,-1.123183012008667,1.2556602954864502,1.1363074779510498,1.400261163711548,1.1281107664108276,1.1231324672698977
18,1684551773,57600,-1.1602829694747925,1.1781493425369265,1.1363074779510498,1.400261163711548,1.1281107664108276,1.1231324672698977
19,1684551774,60800,-1.1602829694747925,1.1781493425369265,1.1363074779510498,1.400261163711548,1.1642615795135498,1.0488277673721311
20,1684551775,64000,-1.1602829694747925,1.1781493425369265,1.160934329032898,0.88160640001297,1.1642615795135498,1.0488277673721311
21,1684551782,67200,-1.1786247491836548,0.7315243482589722,1.160934329032898,0.88160640001297,1.1642615795135498,1.0488277673721311
22,1684551782,70400,-1.1786247491836548,0.7315243482589722,1.160934329032898,0.88160640001297,1.1811738014221191,0.689633309841156
23,1684551784,73600,-1.1786247491836548,0.7315243482589722,1.1843860149383545,0.8855859041213989,1.1811738014221191,0.689633309841156
24,1684551790,76800,-1.1947252750396729,0.54691082239151,1.1843860149383545,0.8855859041213989,1.1811738014221191,0.689633309841156
25,1684551790,80000,-1.1947252750396729,0.54691082239151,1.1843860149383545,0.8855859041213989,1.1973055601119995,0.5718539953231812
26,1684551793,83200,-1.1947252750396729,0.54691082239151,1.2047150135040283,0.5785370469093323,1.1973055601119995,0.5718539953231812
27,1684551798,86400,-1.2196511030197144,0.6174344420433044,1.2047150135040283,0.5785370469093323,1.1973055601119995,0.5718539953231812
28,1684551798,89600,-1.2196511030197144,0.6174344420433044,1.2047150135040283,0.5785370469093323,1.2226163148880005,0.6059110760688782
29,1684551801,92800,-1.2196511030197144,0.6174344420433044,1.2260761260986328,0.5925808548927307,1.2226163148880005,0.6059110760688782
